term,estimate,se,z,p,ci_lo,ci_hi,model
(Intercept),-2.5541206768846783,0.15945123237737155,-16.018193392446587,9.538144604828552e-58,-2.8666393496348532,-2.2416020041345033,surge_artefact_betareg
public_share,0.5122192295863844,0.13297507032980005,3.851994425090331,1.1715969091199458e-4,0.2515928808982957,0.7728455782744732,surge_artefact_betareg
lat_sc,-0.10017209266358942,0.037701228984387256,-2.656998070409653,0.007883989428371868,-0.17406514364588604,-0.026279041681292817,surge_artefact_betareg
logdens_sc,0.05274128652146495,0.021670485321106756,2.433784280322308,0.014941897061632462,0.010267915764591816,0.09521465727833808,surge_artefact_betareg
pct_urban_notif,0.19193589030056324,0.11366550998186285,1.6886027285778216,0.09129558743946511,-0.03084441554826592,0.41471619614939237,surge_artefact_betareg
regionEast,0.09997855691847127,0.056161659710790096,1.7801923488963918,0.0750444871207004,-0.010096273426671479,0.210053387263614,surge_artefact_betareg
regionNorth,0.32846570584457935,0.05974565206460814,5.497734052502782,3.8470252764482e-8,0.2113663795650863,0.4455650321240724,surge_artefact_betareg
regionNortheast,0.276773983942344,0.06814153900498249,4.061751289798523,4.870595206558841e-5,0.14321902164144704,0.4103289462432409,surge_artefact_betareg
regionOther,0.10421567658873672,0.20990313207804573,0.4964941473573985,0.6195458155835816,-0.3071869025263869,0.5156182557038603,surge_artefact_betareg
regionSouth,-0.06981202856302757,0.09007102284644532,-0.7750775594282343,0.438293830885919,-0.24634798939274474,0.10672393226668961,surge_artefact_betareg
regionWest,-0.022060593192803,0.07193947803813955,-0.30665489651047123,0.7591060640103116,-0.1630593792141667,0.11893819282856068,surge_artefact_betareg
lognotif_sc,0.21937284336367827,0.028979439431385548,7.569947786018639,3.7337427071016614e-14,0.1625741857860027,0.27617150094135384,surge_artefact_betareg
(Intercept),-0.43206759943834033,0.13729996261856423,-3.146887961205612,0.0016501818024364594,-0.7011705812494219,-0.16296461762725878,sign_flip_betareg
public_share,-0.17952980385328118,0.12096462690756994,-1.484151263414067,0.13776879592777516,-0.41661611599544296,0.05755650828888059,sign_flip_betareg
lat_sc,0.06236905898706215,0.03505602492736771,1.7791252464101135,0.07521923047134352,-0.0063394873117169,0.1310776052858412,sign_flip_betareg
logdens_sc,0.06537763365226258,0.020350132690769403,3.2126391825404244,0.0013152140523220186,0.02549210649774338,0.10526316080678177,sign_flip_betareg
pct_urban_notif,-0.3406330013825873,0.0962429894586084,-3.5393019616154446,4.0118666058554155e-4,-0.5292657944859278,-0.1520002082792468,sign_flip_betareg
regionEast,0.0014126436134418738,0.052345196405099194,0.02698707255789877,0.9784700448817034,-0.10118205610422804,0.10400734333111178,sign_flip_betareg
regionNorth,-0.012427283698212234,0.05748409222457943,-0.21618648250825978,0.8288423898146624,-0.12509403414236683,0.10023946674594238,sign_flip_betareg
regionNortheast,0.08784040709141999,0.06279906518930692,1.3987534181699408,0.16188693937655843,-0.03524349894240457,0.21092431312524457,sign_flip_betareg
regionOther,-0.00915070250613607,0.19575892841092862,-0.046744751723034134,0.9627166625907678,-0.39283115184371087,0.3745297468314387,sign_flip_betareg
regionSouth,0.10941151940477291,0.08238854137763732,1.3279943736747648,0.18417996561398567,-0.052067054434184204,0.27089009324373003,sign_flip_betareg
regionWest,0.010800893282637175,0.06622186803811346,0.16310160982503255,0.8704384323138619,-0.1189915830610293,0.14059336962630364,sign_flip_betareg
lognotif_sc,0.07306998969640718,0.026067862101106957,2.8030679851304074,0.005061899777426613,0.02197791882428094,0.12416206056853343,sign_flip_betareg
